Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,RTX,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM
20160205,23.5049991607666,53.97999954223633,122.55999755859375,66.12000274658203,22.889999389648438,82.87999725341797,93.9000015258789,66.45246124267578,156.47000122070312,116.43000030517578,122.9158706665039,29.040000915527344,100.54000091552734,57.75,42.439998626708984,115.4000015258789,153.47000122070312,47.11832046508789,50.15999984741211,57.16999816894531,55.28004837036133,27.542694091796875,81.19999694824219,106.29000091552734,111.72000122070312,71.54000091552734,50.970001220703125,75.19999694824219,67.0,80.08000183105469
20160208,23.752500534057617,52.400001525878906,119.47000122070312,64.58000183105469,22.93000030517578,85.98999786376953,92.12000274658203,65.79776000976562,149.25,111.8499984741211,121.39579010009766,28.81999969482422,102.0,56.540000915527344,42.650001525878906,116.05000305175781,153.89999389648438,46.593509674072266,49.40999984741211,55.040000915527344,54.61296463012695,27.096773147583008,82.62000274658203,105.5999984741211,110.0199966430664,67.7699966430664,50.7400016784668,72.91000366210938,66.9000015258789,81.16000366210938
20160209,23.747499465942383,52.630001068115234,118.87999725341797,63.93000030517578,22.649999618530273,82.91999816894531,92.31999969482422,66.32437133789062,148.25,113.86000061035156,118.61376953125,28.809999465942383,101.97000122070312,56.20000076293945,43.29999923706055,117.01000213623047,154.74000549316406,46.90839767456055,49.279998779296875,55.68000030517578,54.9024543762207,27.609107971191406,82.63999938964844,105.91999816894531,111.16000366210938,68.33000183105469,50.150001525878906,74.93000030517578,65.80999755859375,80.08000183105469
20160210,23.5674991607666,52.290000915527344,116.36000061035156,62.13999938964844,22.510000228881836,83.04000091552734,88.8499984741211,65.69813537597656,147.22999572753906,114.33000183105469,114.9043960571289,28.229999542236328,101.7300033569336,55.52000045776367,42.54999923706055,117.54000091552734,152.4499969482422,47.261451721191406,49.709999084472656,57.40999984741211,54.72624206542969,27.979127883911133,81.62000274658203,105.72000122070312,112.73999786376953,70.1500015258789,49.97999954223633,76.01000213623047,65.79000091552734,79.3499984741211
20160211,23.424999237060547,51.11000061035156,108.44000244140625,61.40999984741211,24.68000030517578,82.98999786376953,90.30999755859375,63.76248550415039,140.69000244140625,113.2699966430664,112.66730499267578,28.219999313354492,101.69999694824219,53.06999969482422,42.40999984741211,116.7300033569336,150.6699981689453,46.61259460449219,49.689998626708984,56.0,53.27879333496094,27.637571334838867,79.9000015258789,103.7699966430664,110.62000274658203,68.47000122070312,49.38999938964844,75.52999877929688,65.31999969482422,79.5999984741211
20160212,23.497499465942383,52.65999984741211,108.62999725341797,63.150001525878906,25.110000610351562,85.43000030517578,91.1500015258789,65.4846420288086,146.1300048828125,116.31999969482422,115.7170181274414,28.639999389648438,101.81999969482422,57.4900016784668,43.11000061035156,117.93000030517578,153.9600067138672,46.78435134887695,50.5,56.41999816894531,54.09062194824219,27.85578727722168,80.98999786376953,107.48999786376953,111.81999969482422,70.41999816894531,50.11000061035156,77.08000183105469,66.18000030517578,81.02999877929688
20160216,24.15999984741211,53.18000030517578,112.5999984741211,65.20999908447266,25.84000015258789,84.80999755859375,92.91000366210938,66.65172576904297,149.02000427246094,119.43000030517578,117.34225463867188,28.780000686645508,102.31999969482422,58.349998474121094,43.36000061035156,119.18000030517578,155.52999877929688,47.5,51.09000015258789,57.790000915527344,54.42416763305664,28.282732009887695,81.47000122070312,107.37000274658203,115.1500015258789,71.0999984741211,50.2400016784668,76.55000305175781,65.9000015258789,81.22000122070312
20160217,24.530000686645508,53.61000061035156,116.33999633789062,67.26000213623047,26.459999084472656,88.30999755859375,95.5,68.3027114868164,150.94000244140625,121.20999908447266,120.55449676513672,29.469999313354492,102.5,58.77000045776367,43.4900016784668,118.63999938964844,156.6199951171875,48.28244400024414,52.41999816894531,58.16999816894531,55.456260681152344,28.111953735351562,82.44999694824219,109.18000030517578,118.30000305175781,72.02999877929688,50.31999969482422,78.16000366210938,66.11000061035156,82.0
20160218,24.065000534057617,54.150001525878906,117.56999969482422,66.12000274658203,26.43000030517578,86.7300033569336,95.16999816894531,67.70494079589844,147.72999572753906,119.97000122070312,126.62523651123047,29.420000076293945,104.23999786376953,57.810001373291016,43.61000061035156,117.16999816894531,156.77999877929688,48.01526641845703,52.189998626708984,58.599998474121094,55.6072998046875,28.036052703857422,81.9800033569336,108.8499984741211,117.44999694824219,71.23999786376953,50.939998626708984,76.55000305175781,64.12000274658203,82.44999694824219
20160219,24.010000228881836,54.709999084472656,115.16000366210938,65.41999816894531,26.549999237060547,86.5,95.01000213623047,67.00753784179688,146.91000366210938,121.69000244140625,127.22753143310547,28.709999084472656,104.16000366210938,57.81999969482422,43.77000045776367,116.52999877929688,156.4499969482422,47.82442855834961,51.81999969482422,59.310001373291016,55.525489807128906,27.979127883911133,81.79000091552734,108.08999633789062,117.68000030517578,71.52999877929688,50.86000061035156,77.56999969482422,64.66000366210938,82.5
20160222,24.219999313354492,55.630001068115234,117.38999938964844,67.30999755859375,26.6299991607666,88.81999969482422,96.37000274658203,68.16038513183594,148.7899932861328,122.8499984741211,127.88719177246094,29.350000381469727,104.75,58.56999969482422,43.939998626708984,117.66999816894531,157.6999969482422,48.44465637207031,52.650001525878906,60.16999816894531,58.13090133666992,28.510435104370117,82.12999725341797,109.3499984741211,121.2699966430664,73.05999755859375,51.06999969482422,78.80000305175781,65.62999725341797,82.38999938964844
20160223,23.672500610351562,55.11000061035156,116.9000015258789,65.77999877929688,26.1200008392334,84.91000366210938,95.37999725341797,66.8652114868164,144.91000366210938,124.52999877929688,126.57743835449219,28.799999237060547,104.08000183105469,56.119998931884766,43.689998626708984,116.9000015258789,156.1699981689453,48.225189208984375,51.18000030517578,60.209999084472656,57.64631652832031,28.425046920776367,81.80999755859375,107.91000366210938,121.1500015258789,72.1500015258789,50.630001068115234,78.7300033569336,66.4800033569336,81.2300033569336
20160224,24.024999618530273,54.63999938964844,115.58999633789062,65.87999725341797,26.31999969482422,85.2699966430664,95.43000030517578,67.16410064697266,145.55999755859375,125.61000061035156,126.95984649658203,29.190000534057617,104.95999908447266,56.13999938964844,43.90999984741211,117.05999755859375,157.22000122070312,48.2442741394043,51.36000061035156,60.400001525878906,58.9112663269043,28.48197364807129,81.55999755859375,108.4800033569336,120.19999694824219,71.8499984741211,50.81999969482422,79.43000030517578,67.12000274658203,81.5199966430664
20160225,24.190000534057617,55.38999938964844,116.81999969482422,66.47000122070312,26.600000381469727,85.30000305175781,95.6500015258789,68.45927429199219,148.25,126.86000061035156,128.5850830078125,29.6200008392334,106.37999725341797,57.0099983215332,44.15999984741211,118.37000274658203,158.99000549316406,48.66412353515625,52.099998474121094,62.380001068115234,61.71806335449219,29.022769927978516,82.33999633789062,109.2699966430664,121.19999694824219,73.2699966430664,51.11000061035156,79.91999816894531,68.04000091552734,82.01000213623047
20160226,24.227500915527344,55.380001068115234,118.16000366210938,66.87000274658203,26.40999984741211,84.3499984741211,95.30999755859375,69.37017059326172,150.25,126.26000213623047,126.22370910644531,29.799999237060547,105.77999877929688,57.540000915527344,43.13999938964844,117.05999755859375,158.27000427246094,48.32061004638672,51.29999923706055,62.599998474121094,61.47891616821289,28.68121337890625,81.0999984741211,108.45999908447266,121.33000183105469,72.7300033569336,51.02000045776367,79.56999969482422,66.51000213623047,81.75
20160229,24.172500610351562,55.58000183105469,118.18000030517578,67.69999694824219,26.18000030517578,83.44000244140625,95.5199966430664,69.18514251708984,149.52999877929688,124.12000274658203,125.26768493652344,29.59000015258789,105.20999908447266,56.29999923706055,43.130001068115234,117.19000244140625,156.8699951171875,47.91030502319336,50.880001068115234,61.59000015258789,60.805538177490234,28.149904251098633,80.29000091552734,107.5199966430664,119.0999984741211,72.38999938964844,50.72999954223633,78.94000244140625,66.33999633789062,80.1500015258789
20160301,25.13249969482422,56.79999923706055,119.95999908447266,69.08999633789062,26.829999923706055,86.12999725341797,97.6500015258789,71.26311492919922,154.64999389648438,125.69999694824219,128.46080017089844,30.3700008392334,107.22000122070312,59.20000076293945,43.689998626708984,118.8499984741211,159.58999633789062,49.3797721862793,52.58000183105469,62.91999816894531,59.8174934387207,28.50094985961914,81.2300033569336,110.12999725341797,121.66999816894531,74.63999938964844,51.459999084472656,80.3499984741211,66.45999908447266,81.27999877929688
20160302,25.1875,57.119998931884766,119.6500015258789,69.37999725341797,26.899999618530273,87.13999938964844,97.0,70.62264251708984,154.1999969482422,125.58999633789062,130.30592346191406,30.540000915527344,107.04000091552734,59.7599983215332,43.77000045776367,118.4800033569336,159.41000366210938,49.875953674316406,52.95000076293945,62.220001220703125,60.119571685791016,28.44402313232422,82.55000305175781,110.19999694824219,121.2699966430664,74.30000305175781,52.119998931884766,79.45999908447266,66.20999908447266,82.69999694824219
20160303,25.375,58.09000015258789,119.61000061035156,71.75,26.8700008392334,87.52999877929688,98.81999969482422,70.59417724609375,155.3300018310547,126.80000305175781,131.73995971679688,30.579999923706055,106.6500015258789,59.959999084472656,43.959999084472656,116.69000244140625,159.3800048828125,49.713741302490234,52.349998474121094,61.470001220703125,60.484580993652344,28.35863494873047,82.83999633789062,109.80000305175781,121.81999969482422,73.91000366210938,51.88999938964844,79.91999816894531,66.13999938964844,82.4000015258789
